Unnamed: 0,word
237,بات جا پَڑْنا
238,بات جانا
239,بات جَبْ ہَے
240,بات جَتانا
241,بات جَڑْنا
242,بات جَمانا
243,بات جَمْنا
244,بات جَنانا
245,بات جو چاہے اپْنی پانی مانگ نَہ پی
246,بات جوڑْنا
247,بات جُوں تُوں کی کَرْنا
248,بات جی سے گَڑْھنا
249,بات جی سے گَھڑْنا
250,بات جی کو لَگْنا
251,بات جی میں بَیٹْھنا
252,بات جی میں پِھرْنا
253,بَھرائی
254,بات جی میں ڈالْنا
255,بات جی میں گَڑْنا
256,بات جی میں نَہ رَہْنا
257,بات جُھٹالْنا
258,بات جَھنڈے پَر چَڑھانا
259,بات جُھوٹی پَڑْنا
260,بات چَبا جانا
261,بات چَبا چَبا کَر کَرْنا
262,بات چَبا کَر کَہْنا
263,بات چَبانا
264,بات چِبِلّی ہے
265,بات چِپَک کے رَہ جانا
266,بات چِپَکْنا
267,بات چُٹْکِیوں میں اْڑانا
268,بات چُرا کے کَہْنا
269,بات چَلانا
270,بات چَل پَڑْنا
271,بات چَلْنا
272,بات چَلْنے نَہ دینا
273,بات چَلی جانا
274,بات چَندرا کے کَرنا
275,بات چَندرا کے کَہنا
276,چھوپا مارنا
277,بات چَندرانا
278,بات چِیت
279,بات چِیت کُھٹ ہونا
280,بات چِھڑْنا
281,بات چَھنْنا
282,بات چُھوٹنا
283,بات چھوٹی کرنا
284,رَکْھنا رَہْنا
285,رَکْھنا لَگانا
286,چیند چیندھ ہونا
287,بات چھیڑنا
288,بات چِھیلے رُکْھڑی کاٹْھ چِھیلے چِکنا
289,بات حَلْق سے نِیچے اُترنا
290,بات خالی جانا
291,بات خَتْم ہونا
292,اِسْتِقْرار حَق
293,اُلُّو بَنانا
294,اُلُّو بَنْنا
295,اُلُّو پَن پَنا
296,بات پَکّی کَرْنا
297,اُلُو
298,بات دینا
299,اُلُّوسِیدھا ہونا
300,بات رَکْھنا
301,بات رَکھ لینا
302,اُصُول لینا
303,اِسْتِنْقاع
304,اِسْتِوا کَرْنا
305,اپنی جَمانا
306,اپنی سی
307,پَرَسْت
308,اِسْٹار
309,لانا
310,خانَہ
311,دار داری
312,اِسْتیج کَرْنا
313,اِسْتیج ہونا
314,چُوا پَڑْنا
315,بَنانا
316,کَرْنا
317,ہونا
318,آنا پَٹ
319,آنا ہونا
320,اُسْرا
321,اَچُھوت پَن
322,چھاجا چھا جائِیل چھا جایِل
323,چھاچْھیا چھاچْھیَہ کھار
324,اِسْتِخارَہ آنا
325,اَسْرار کَرْنا
326,اَسْفَل سافِلِین
327,اِسْفَنْجْ کَرْنا
328,اَبْدال
329,اِسْکات
330,اَبْر اُٹْھنا
331,اِسْکِرِپْٹ
332,اَبْر اُمَنڈنا
333,اِسْکَرْٹ
334,اُسْکُرُجہَّ
335,اَبْر ِ آذار
336,اِسکُرُو
337,اَبْر ِ آذاری
338,اِسکُرُو ڈِرائِیوَر
339,اِسْکِرِین
340,اَبْر ِ آذَری
341,اِسْکِرینِنْگ
342,اَچھوں اَچھوں
343,اِسْکْنَدْ
344,اَبْر آنا
345,چَوالیس
346,اَبْر ِ باراں
347,اِسْکَنْدَر
348,اَبْر بَرَسنا
349,اِسْکَنْدَری
350,اَبْر ِ بَہار
351,اِسْکُواڈْرَن
352,اَبْر ِ بَہاراں
353,اِسْکُواش
354,اَبْر ِ بَہاری
355,اِسْکُوائِر
356,اَبْر ِ بَہْمَن
357,اَظْہار
358,اِسْکوپ
359,اَچّھے
360,اِسْکُوْٹُر
361,اِسْکور
362,اَبْر ِ بَہْمَنی
363,اَبْر پَھٹنا
364,اِسْکُوْل
365,اِسْکولَر
366,اَبْر ِ تَر
367,اِسْکُولی
368,اِسْکوِئر
369,اَبْر ِ تُنُک
370,اِسکوائشِ
371,اِسْکیٹِنْگ
372,اَبْر ِ تِیْرَہ
373,اِسْکیچ
374,اَبْر ِ تیْغ
375,اَبْر ِ جوشاں
376,اَظْہاری
377,اَبْر چھانا
378,اِسْکیل
379,اَظْہارِیَہ
380,اَبْر چَھٹنا
381,اَبْر ِ دریا بار
382,اَبْر ِ رَبِیْع
383,اَبْر ِ رَحْمَت
384,اَبْر ِ رَواں
385,اِحْتِرازی
386,اَعادَہ
387,اَعادَہ ءِ مَعْدُوم
388,احْتِراقی
389,اَعادی
390,اِعارَہ
391,اَعاصِر
392,اَعاظِم
393,اَعالی
394,اِعانَت
395,اِعانَت بَمَشْوَرَہ
396,اِعانَہ
397,اَعْبا
398,اِحْتِشامی
399,اِعْتاق
400,اِعْتاق نامَہ
401,اِعْتِبار
402,رَکْھنا کَرْنا
403,اِحْتِیاج مَنْد
404,اِعْتِبار اُٹْھنا
405,اِعْتِبار آنا
406,اِعْتِبار پَکَڑْنا
407,اِعْتِبار پانا
408,اِعْتِبار جانا
409,اِعْتِبار جَمانا
410,اِعْتِبار جَمْنا
411,اِعْتِبار سے گِرْنا
412,اِعْتِبار کھونا
413,اَحْجار
414,اَحَد
415,اَحَد الْمُتَخاصِمَیْن
416,اَحَدی
417,اَنوکھی جُرْوا ساگ میں شُرْوا
418,اَحَدِیَّت
419,اِنْوی ٹیشَن َ
420,اُنْمْ
421,چھانے کا پُھونس
422,چھاؤنی
423,چھاؤنی چھانا
424,چھاؤنی ڈالْنا
425,چھاؤنی کَرْنا
426,اَنی انی
427,اُتّار
428,اِبْن
429,اَنِیت َ انَِیت
430,ابن ِ مَرْیَم
431,ابن ُ مُقَنَّع
432,ابن ِ مُلْجِم
433,اِینٹ کا گَھر مَٹّی کا دَر
434,اِینٹ کا گَھر مَٹّی کا کَرْدینا
435,اِینٹ کی عَیَنک لَگانا
436,اُتارے پِھرنا
437,اِینٹ کی دینی پَتَّھر کی لینی
438,اِینٹ کی لینی پَتَّھر کی دینی
439,اِینٹ کَھر
440,اِینٹ کھویا
441,اَملاک
442,اِینٹ کھینْچْنا
443,اُبْنا
444,اَبْنا
445,اِینٹ گَلانا
446,اِینٹ منْدی کَرْنا
447,اِینْٹا
448,اِینْٹا کھویا
449,اَینْٹْنا
